15,04,2019;12:15:55;60;59,5035;57,465
15,04,2019;12:16:25;88;60,4465;58,3592
15,04,2019;12:16:55;120;60,9135;59,2382
15,04,2019;12:17:25;148;61,0142;59,6654
15,04,2019;12:17:55;180;60,5976;58,3745
15,04,2019;12:18:25;208;60,6022;57,1873
15,04,2019;12:18:55;240;59,7141;56,171
15,04,2019;12:19:25;268;59,6958;55,878
15,04,2019;12:19:55;300;59,6042;57,0591
15,04,2019;12:20:25;328;60,4007;58,6491
15,04,2019;12:20:55;360;60,3367;59,8211
15,04,2019;12:21:25;388;59,4165;59,0947
15,04,2019;12:21:55;416;60,4007;59,0947
15,04,2019;12:22:25;448;60,5335;60,2728
15,04,2019;12:22:55;480;61,179;61,2952
15,04,2019;12:23:25;508;59,8423;60,4315
15,04,2019;12:23:55;540;59,9292;59,3969
15,04,2019;12:24:25;568;59,5722;59,3816
15,04,2019;12:24:55;600;60,9547;60,5658
15,04,2019;12:25:25;628;61,2476;61,8933
15,04,2019;12:25:55;660;60,1535;61,3135
15,04,2019;12:26:25;688;60,1169;60,2758
15,04,2019;12:26:55;716;59,8468;59,3969
15,04,2019;12:27:25;748;59,7095;58,6674
15,04,2019;12:27:55;777;60,8631;58,0784
15,04,2019;12:28:25;808;61,3987;58,3897
15,04,2019;12:28:55;837;60,0712;58,6705
15,04,2019;12:29:25;868;60,1444;58,0937
15,04,2019;12:29:55;896;60,149;57,7976
15,04,2019;12:30:25;929;60,2131;59,3969
15,04,2019;12:30:55;957;60,268;61,3043
15,04,2019;12:31:25;989;60,2588;63,0653
15,04,2019;12:31:55;1017;60,0666;63,3644
15,04,2019;12:32:25;1049;60,0574;62,3359
15,04,2019;12:32:55;1077;60,0208;61,3043
15,04,2019;12:33:25;1109;59,9796;60,4284
15,04,2019;12:33:55;1137;61,3163;59,6868
15,04,2019;12:34:25;1169;61,2293;59,995
15,04,2019;12:34:55;1197;60,4236;60,4284
15,04,2019;12:35:25;1229;60,6342;59,6959
15,04,2019;12:35:55;1257;60,4511;58,9696
15,04,2019;12:36:25;1289;60,3962;58,3806
15,04,2019;12:36:55;1317;60,2726;57,9502
15,04,2019;12:37:25;1349;60,2634;57,9411
15,04,2019;12:37:55;1377;60,4053;59,8394
15,04,2019;12:38:25;1409;60,3412;62,0368
15,04,2019;12:38:55;1437;60,4877;63,5078
15,04,2019;12:39:25;1469;61,3117;62,6319
15,04,2019;12:39:55;1497;60,4145;61,6095
15,04,2019;12:40:25;1529;60,3687;60,5658
15,04,2019;12:40:55;1557;61,2568;59,9859
15,04,2019;12:41:25;1589;61,2156;59,5678
15,04,2019;12:41:55;1617;60,2543;59,2656
15,04,2019;12:42:25;1649;60,8127;58,6705
15,04,2019;12:42:55;1677;60,8311;58,3897
15,04,2019;12:43:25;1709;60,6891;59,4121
15,04,2019;12:43:55;1737;60,2405;61,1578
15,04,2019;12:44:25;1769;60,3687;62,7754
15,04,2019;12:44:55;1797;60,268;63,81
